candidato,mae_medio,n_estimators_final,max_depth,min_child_weight,subsample,colsample_bytree,learning_rate,reg_alpha,reg_lambda,gamma
1,413.68938510888904,1800,6,2.0,0.9,0.9,0.05,0.1,1.5,0.0
2,414.1541973920382,2000,5,1.5,0.9,0.9,0.04,0.05,1.2,0.0
3,452.8383398451585,2400,7,2.0,0.85,0.9,0.03,0.1,1.8,0.0
4,414.80750086301657,1500,6,1.0,0.95,0.9,0.06,0.05,1.0,0.0
5,441.8169700277182,1600,7,3.0,0.9,0.85,0.05,0.2,2.0,0.05
6,459.40695138191813,2200,5,4.0,0.85,0.8,0.04,0.3,2.5,0.1
